DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2022-05-09                11:03:46.266              128.41928549              3082.062852               129.41928549              1652087026.266            0                         963                       1.4000001421E+02          4.5000572205E+01          3.4875000000E+01          4.5242301941E+01          4.5002128601E+01          2.0000000000E+00          0.0000000000E+00          3.4256341141E+04          4.0000000000E+00          2.4815026623E-01          2.5658512902E-01          2.7179488540E-01          2.8361106890E-01          2.5966384118E-01          2.6836741278E-01          2.8430131286E-01          2.9678789864E-01          4.5381616986E+02          5.7021812450E+00          5.8931899346E+00          2.5547259903E+00          3.5808998313E+01          0.0000000000E+00          4.7155381661E-01          6.9381959608E+01          3.0584919263E+00          1.4503727496E+02          1.2333300616E+03          3.5857993002E+01          
2022-05-09                11:03:47.311              128.41929758              3082.063142               129.41929758              1652087027.311            0                         963                       1.3999772326E+02          4.5000572205E+01          3.4875000000E+01          4.5242301941E+01          4.5002128601E+01          4.6000000000E+01          0.0000000000E+00          3.4254516927E+04          4.0000000000E+00          2.9373133932E-01          2.5388267728E-01          2.7451371814E-01          2.8361991506E-01          3.0730073309E-01          2.6554400298E-01          2.8714674835E-01          2.9679644734E-01          5.1345119993E+02          5.7169525819E+00          5.9074920172E+00          2.5422458787E+00          3.5186614645E+01          0.0000000000E+00          4.7155381661E-01          6.9386523902E+01          3.0584919263E+00          1.4503727496E+02          1.2333300616E+03          3.5857993002E+01          
2022-05-09                11:03:48.582              128.41931229              3082.063495               129.41931229              1652087028.582            0                         963                       1.3999994879E+02          4.5000572205E+01          3.4875000000E+01          4.5242301941E+01          4.5002128601E+01          4.7000000000E+01          0.0000000000E+00          3.4255857947E+04          4.0000000000E+00          3.4917232011E-01          2.5478354649E-01          2.7746538732E-01          2.8386069887E-01          3.6521326625E-01          2.6648765259E-01          2.9023467910E-01          2.9704730281E-01          5.8598337132E+02          5.7349183149E+00          5.9248805125E+00          2.5270644798E+00          3.4429627568E+01          0.0000000000E+00          7.4125331220E-01          6.9386523902E+01          3.1276390163E+00          1.4503727496E+02          1.2333300616E+03          3.5857993002E+01          
2022-05-09                11:03:49.424              128.41932205              3082.063729               129.41932205              1652087029.425            0                         963                       1.3999994879E+02          4.5000572205E+01          3.4875000000E+01          4.5242301941E+01          4.5002128601E+01          4.7000000000E+01          0.0000000000E+00          3.4255857947E+04          4.0000000000E+00          3.4912426047E-01          2.6124855771E-01          2.7943659829E-01          2.8418710962E-01          3.6509682092E-01          2.7324963955E-01          2.9229550876E-01          2.9738796350E-01          5.8597987817E+02          5.7468339254E+00          5.9364099152E+00          2.5170015432E+00          3.3927796492E+01          0.0000000000E+00          7.4125331220E-01          6.9386523902E+01          3.1276390163E+00          1.4503727496E+02          1.2333300616E+03          3.5857993002E+01          
2022-05-09                11:03:49.857              128.41932705              3082.063849               129.41932705              1652087029.857            0                         963                       1.4000211101E+02          4.5000549075E+01          3.4875000000E+01          4.5242290376E+01          4.5002099690E+01          2.5000000000E+01          0.0000000000E+00          3.4256992229E+04          4.0000000000E+00          3.4346239629E-01          2.6754299124E-01          2.8040668613E-01          2.8437119436E-01          3.5914171558E-01          2.7983253009E-01          2.9330833008E-01          2.9757974533E-01          5.5316298539E+02          5.7529401009E+00          5.9423171444E+00          2.5118466716E+00          3.3670668070E+01          0.0000000000E+00          7.4125331220E-01          6.9386523902E+01          3.1276390163E+00          1.4503727496E+02          1.2529616658E+03          3.5857993002E+01          
2022-05-09                11:03:51.055              128.41934091              3082.064182               129.41934091              1652087031.055            0                         963                       1.4000026391E+02          4.5000450134E+01          3.4853510896E+01          4.5242240906E+01          4.5001976013E+01          4.7000000000E+01          0.0000000000E+00          3.4254806097E+04          4.0000000000E+00          3.2775925685E-01          2.7218646139E-01          2.8089036037E-01          2.8527424272E-01          3.4263112486E-01          2.8468656662E-01          2.9381044293E-01          2.9852374214E-01          4.6215661499E+02          5.7744990008E+00          5.9634720783E+00          2.4975584923E+00          3.2957576546E+01          0.0000000000E+00          6.9021793355E-01          6.9386523902E+01          2.8205408211E+00          1.4503727496E+02          1.2529616658E+03          3.5857993002E+01          
2022-05-09                11:03:51.907              128.41935079              3082.064419               129.41935079              1652087031.908            0                         963                       1.4000026391E+02          4.5000450134E+01          3.4853510896E+01          4.5242240906E+01          4.5001976013E+01          4.7000000000E+01          0.0000000000E+00          3.4254806097E+04          4.0000000000E+00          3.2770897557E-01          2.7519482861E-01          2.8123687836E-01          2.8572513633E-01          3.4251586692E-01          2.8782862646E-01          2.9416609354E-01          2.9899439611E-01          4.6215289221E+02          5.7898494580E+00          5.9785305574E+00          2.4873912121E+00          3.2449766695E+01          0.0000000000E+00          6.9021793355E-01          6.9386523902E+01          2.8205408211E+00          1.4503727496E+02          1.2529616658E+03          3.5857993002E+01          
2022-05-09                11:03:52.674              128.41935965              3082.064632               129.41935965              1652087032.674            0                         963                       1.3999761534E+02          4.5000450134E+01          3.4875000000E+01          4.5242240906E+01          4.5001976013E+01          2.0000000000E+00          0.0000000000E+00          3.4252093750E+04          4.0000000000E+00          3.2015362903E-01          2.7651714627E-01          2.8182652610E-01          2.8583205712E-01          3.3456297436E-01          2.8920316611E-01          2.9477816749E-01          2.9910485753E-01          4.5813171441E+02          5.8036342168E+00          5.9920500353E+00          2.4782652888E+00          3.1993800077E+01          0.0000000000E+00          6.9021793355E-01          6.9386523902E+01          2.8205408211E+00          1.4100943896E+02          1.2529616658E+03          3.2044080449E+01          
2022-05-09                11:03:53.756              128.41937218              3082.064932               129.41937218              1652087033.756            0                         963                       1.3999862146E+02          4.5000450134E+01          3.4875000000E+01          4.5242240906E+01          4.5001976013E+01          4.6000000000E+01          0.0000000000E+00          3.4251506348E+04          4.0000000000E+00          3.0954841567E-01          2.7635792477E-01          2.8232868443E-01          2.8613064977E-01          3.2350890014E-01          2.8903402499E-01          2.9529720870E-01          2.9941615722E-01          4.5245841434E+02          5.8231060508E+00          6.0125616828E+00          2.4834546466E+00          3.2542434206E+01          0.0000000000E+00          6.9021793355E-01          6.9633046980E+01          2.8205408211E+00          1.4100943896E+02          1.2529616658E+03          3.2044080449E+01          
2022-05-09                11:03:55.092              128.41938765              3082.065304               129.41938765              1652087035.093            0                         963                       1.3999949339E+02          4.5000577229E+01          3.4875000000E+01          4.5242177358E+01          4.5002055448E+01          4.7000000000E+01          0.0000000000E+00          3.4251782054E+04          4.0000000000E+00          2.9644527452E-01          2.7680121481E-01          2.8262433515E-01          2.8638678486E-01          3.0984828124E-01          2.8949371159E-01          2.9559709623E-01          2.9968342830E-01          4.4544805850E+02          5.8471667949E+00          6.0379106492E+00          2.4898608892E+00          3.3220366383E+01          0.0000000000E+00          6.3764074269E-01          6.9633046980E+01          3.1635388908E+00          1.4100943896E+02          1.2529616658E+03          3.2044080449E+01          
