DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2022-05-10                03:06:36.528              129.08792278              3098.110147               130.08792278              1652144796.528            0                         963                       1.3999466667E+02          4.4999504089E+01          3.1250000000E+01          4.5243247986E+01          4.4998558044E+01          4.7000000000E+01          0.0000000000E+00          3.2764833838E+04          5.0000000000E+00          2.6065022782E-01          3.2380011335E-01          3.1901974634E-01          3.3182186343E-01          2.6736000375E-01          3.3214703105E-01          3.2725166085E-01          3.4002486910E-01          6.3407814897E+02          2.5149538243E+00          2.5617950144E+00          1.4394240162E+00          9.3240649663E+00          0.0000000000E+00          5.3110375480E-01          9.4606076158E+01          1.6148175298E+00          8.5298590286E+01          5.5475762128E+02          9.7383901337E+00          
2022-05-10                03:06:37.391              129.08793277              3098.110386               130.08793277              1652144797.391            0                         963                       1.3999466667E+02          4.4999504089E+01          3.1250000000E+01          4.5243247986E+01          4.4998558044E+01          4.7000000000E+01          0.0000000000E+00          3.2764833838E+04          5.0000000000E+00          2.6064432280E-01          3.2145945567E-01          3.1820897657E-01          3.3163613453E-01          2.6734350376E-01          3.2974334606E-01          3.2641960311E-01          3.3983515915E-01          6.3407749584E+02          2.5089613683E+00          2.5556184176E+00          1.4372269927E+00          9.1483750772E+00          0.0000000000E+00          5.3110375480E-01          9.4606076158E+01          1.6148175298E+00          8.5298590286E+01          5.5475762128E+02          9.7383901337E+00          
2022-05-10                03:06:37.822              129.08793777              3098.110506               130.08793777              1652144797.823            0                         963                       1.4000708361E+02          4.4999504089E+01          3.1232236842E+01          4.5243247986E+01          4.4998558044E+01          2.5000000000E+01          0.0000000000E+00          3.2773764268E+04          5.0000000000E+00          2.7891684742E-01          3.2030965545E-01          3.1815592517E-01          3.3150244895E-01          2.8608219975E-01          3.2856331508E-01          3.2636636864E-01          3.3969880730E-01          6.4031553911E+02          2.5059618137E+00          2.5525268242E+00          1.4361273333E+00          9.0603061844E+00          0.0000000000E+00          5.3110375480E-01          9.4606076158E+01          1.6148175298E+00          8.5298590286E+01          5.4582031905E+02          9.7383901337E+00          
2022-05-10                03:06:39.107              129.08795263              3098.110863               130.08795263              1652144799.107            0                         963                       1.4000117485E+02          4.4999565272E+01          3.1218825666E+01          4.5243232690E+01          4.4998542749E+01          4.7000000000E+01          0.0000000000E+00          3.2775039356E+04          5.0000000000E+00          3.3322653207E-01          3.1929338554E-01          3.1906263849E-01          3.3144890774E-01          3.4177309956E-01          3.2751574989E-01          3.2729895440E-01          3.3964466272E-01          6.5885634435E+02          2.4978417194E+00          2.5441484457E+00          1.4328593219E+00          8.7985396206E+00          0.0000000000E+00          6.7494675186E-01          9.4606076158E+01          1.5851907685E+00          8.5298590286E+01          5.4582031905E+02          9.7383901337E+00          
2022-05-10                03:06:40.012              129.08796310              3098.111114               130.08796310              1652144800.012            0                         963                       1.4000117485E+02          4.4999565272E+01          3.1218825666E+01          4.5243232690E+01          4.4998542749E+01          4.7000000000E+01          0.0000000000E+00          3.2775039356E+04          5.0000000000E+00          3.3322009394E-01          3.1893463007E-01          3.1866560026E-01          3.3125474485E-01          3.4175249022E-01          3.2714457432E-01          3.2689245271E-01          3.3944632219E-01          6.5885562734E+02          2.4921181399E+00          2.5382432489E+00          1.4305562386E+00          8.6142949539E+00          0.0000000000E+00          6.7494675186E-01          9.4606076158E+01          1.5851907685E+00          8.5298590286E+01          5.4582031905E+02          9.7383901337E+00          
2022-05-10                03:06:40.615              129.08797008              3098.111282               130.08797008              1652144800.615            0                         963                       1.3999883072E+02          4.4999626160E+01          3.1187500000E+01          4.5243217468E+01          4.4998527527E+01          2.0000000000E+00          0.0000000000E+00          3.2772269585E+04          5.0000000000E+00          3.2737829952E-01          3.1841422199E-01          3.1878660997E-01          3.3104390996E-01          3.3575141801E-01          3.2660753225E-01          3.2701549389E-01          3.3923083892E-01          6.8468722944E+02          2.4883044819E+00          2.5343087788E+00          1.4290218537E+00          8.4915720572E+00          0.0000000000E+00          6.7494675186E-01          9.4606076158E+01          1.5851907685E+00          8.4450495519E+01          5.4582031905E+02          8.5167945593E+00          
2022-05-10                03:06:41.352              129.08797862              3098.111487               130.08797862              1652144801.353            0                         963                       1.3999773073E+02          4.4999626160E+01          3.1232421875E+01          4.5243217468E+01          4.4998527527E+01          4.6000000000E+01          0.0000000000E+00          3.2769542725E+04          5.0000000000E+00          3.2026114019E-01          3.1808680097E-01          3.1821450560E-01          3.3086587188E-01          3.2846964930E-01          3.2626920725E-01          3.2642944601E-01          3.3904899905E-01          7.1630297994E+02          2.4836370809E+00          2.5296561320E+00          1.4321147904E+00          8.5172601107E+00          0.0000000000E+00          6.7494675186E-01          9.4894125922E+01          1.5851907685E+00          8.4450495519E+01          5.4582031905E+02          8.5167945593E+00          
2022-05-10                03:06:42.496              129.08799185              3098.111804               130.08799185              1652144802.496            0                         963                       1.4000059720E+02          4.4999626160E+01          3.1250000000E+01          4.5243217468E+01          4.4998527527E+01          4.7000000000E+01          0.0000000000E+00          3.2771110680E+04          5.0000000000E+00          3.0923672878E-01          3.1788940154E-01          3.1746655739E-01          3.3072317262E-01          3.1718871390E-01          3.2606482707E-01          3.2566470909E-01          3.3890349199E-01          7.6526884010E+02          2.4764084049E+00          2.5224498439E+00          1.4369133575E+00          8.5570463461E+00          0.0000000000E+00          6.3690831654E-01          9.4894125922E+01          1.9363623975E+00          8.4450495519E+01          5.4582031905E+02          8.5167945593E+00          
2022-05-10                03:06:43.305              129.08800123              3098.112029               130.08800123              1652144803.306            0                         963                       1.4000059720E+02          4.4999626160E+01          3.1250000000E+01          4.5243217468E+01          4.4998527527E+01          4.7000000000E+01          0.0000000000E+00          3.2771110680E+04          5.0000000000E+00          3.0926556691E-01          3.1836549085E-01          3.1735265475E-01          3.3068273929E-01          3.1723749217E-01          3.2655158449E-01          3.2554766441E-01          3.3886293414E-01          7.6526924725E+02          2.4712857835E+00          2.5173425727E+00          1.4403147014E+00          8.5851889020E+00          0.0000000000E+00          6.3690831654E-01          9.4894125922E+01          1.9363623975E+00          8.4450495519E+01          5.4582031905E+02          8.5167945593E+00          
2022-05-10                03:06:43.714              129.08800596              3098.112143               130.08800596              1652144803.715            0                         963                       1.4000808716E+02          4.4999626160E+01          3.1187500000E+01          4.5243217468E+01          4.4998527527E+01          2.5000000000E+01          0.0000000000E+00          3.2778867188E+04          5.0000000000E+00          2.8221285228E-01          3.1738839251E-01          3.1697922688E-01          3.3054504075E-01          2.8949363530E-01          3.2555001830E-01          3.2516573578E-01          3.3872268045E-01          7.4892592239E+02          2.4686989608E+00          2.5147633327E+00          1.4420323776E+00          8.5995800802E+00          0.0000000000E+00          6.3690831654E-01          9.4894125922E+01          1.9363623975E+00          8.4450495519E+01          5.3770500567E+02          8.5167945593E+00          
2022-05-10                03:06:44.865              129.08801927              3098.112463               130.08801927              1652144804.865            0                         963                       1.3999874826E+02          4.4999687195E+01          3.1250000000E+01          4.5243217468E+01          4.4998619080E+01          4.7000000000E+01          0.0000000000E+00          3.2779612222E+04          5.0000000000E+00          2.0614759455E-01          3.1510333272E-01          3.1554863812E-01          3.3028173985E-01          2.1147594545E-01          3.2320170687E-01          3.2369942917E-01          3.3845359003E-01          7.0297278390E+02          2.4618543502E+00          2.5079474871E+00          1.4468629199E+00          8.6400409059E+00          0.0000000000E+00          4.2094751133E-01          9.4894125922E+01          1.5690267721E+00          8.4450495519E+01          5.3770500567E+02          8.5167945593E+00          
