DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2022-05-10                08:07:32.388              129.29690265              3103.125664               130.29690265              1652162852.389            0                         963                       1.3999756368E+02          4.5001304626E+01          3.0250000000E+01          4.5247428894E+01          4.5002342224E+01          4.6000000000E+01          0.0000000000E+00          3.2889276042E+04          2.0000000000E+00          2.4428697383E-01          3.1964250952E-01          3.1532642710E-01          3.1530103397E-01          2.5112969843E-01          3.2866843379E-01          3.2420687238E-01          3.2448218671E-01          5.4984325012E+02          2.1655745288E+01          2.2094673823E+01          1.5640712467E+00          1.0956210373E+01          0.0000000000E+00          7.1820836036E-01          7.8452639978E+01          2.2280448566E+00          9.1550543557E+01          4.7106935978E+03          1.1359941210E+01          
2022-05-10                08:07:33.540              129.29691598              3103.125984               130.29691598              1652162853.541            0                         963                       1.4000001071E+02          4.5001304626E+01          3.0272094431E+01          4.5247428894E+01          4.5002342224E+01          4.7000000000E+01          0.0000000000E+00          3.2890113584E+04          2.0000000000E+00          1.6712249423E-01          3.1535621879E-01          3.1292720317E-01          3.1525852645E-01          1.7180491266E-01          3.2425737291E-01          3.2174775870E-01          3.2443594213E-01          4.7723947451E+02          2.1664001271E+01          2.2104179927E+01          1.5678583928E+00          1.0621689847E+01          0.0000000000E+00          3.5292720954E-01          7.8452639978E+01          1.3938730250E+00          9.1550543557E+01          4.7106935978E+03          1.1359941210E+01          
2022-05-10                08:07:34.375              129.29692565              3103.126216               130.29692565              1652162854.376            0                         963                       1.4000001071E+02          4.5001304626E+01          3.0272094431E+01          4.5247428894E+01          4.5002342224E+01          4.7000000000E+01          0.0000000000E+00          3.2890113584E+04          2.0000000000E+00          1.6715299754E-01          3.1099730051E-01          3.1041108738E-01          3.1493179852E-01          1.7184465504E-01          3.1977464591E-01          3.1916407294E-01          3.2409818016E-01          4.7723767463E+02          2.1669985870E+01          2.2111071395E+01          1.5706039825E+00          1.0378846481E+01          0.0000000000E+00          3.5292720954E-01          7.8452639978E+01          1.3938730250E+00          9.1550543557E+01          4.7106935978E+03          1.1359941210E+01          
2022-05-10                08:07:35.059              129.29693356              3103.126406               130.29693356              1652162855.060            0                         963                       1.3999955669E+02          4.5001176131E+01          3.0250000000E+01          4.5247377496E+01          4.5002367923E+01          2.5000000000E+01          0.0000000000E+00          3.2888678248E+04          2.0000000000E+00          2.3289175653E-01          3.0837274035E-01          3.0865026880E-01          3.1469468857E-01          2.3945116617E-01          3.1707487901E-01          3.1735715933E-01          3.2385353561E-01          4.9629306989E+02          2.1674888747E+01          2.2116717629E+01          1.5728534606E+00          1.0179479256E+01          0.0000000000E+00          3.5292720954E-01          7.8452639978E+01          1.3938730250E+00          9.1550543557E+01          4.7206293058E+03          1.1359941210E+01          
2022-05-10                08:07:36.553              129.29695086              3103.126821               130.29695086              1652162856.554            0                         963                       1.3999774041E+02          4.5001152039E+01          3.0250000000E+01          4.5247367859E+01          4.5002372742E+01          4.7000000000E+01          0.0000000000E+00          3.2890575278E+04          2.0000000000E+00          3.7647704826E-01          3.1006632189E-01          3.0869954011E-01          3.1487749547E-01          3.8713488630E-01          3.1881882890E-01          3.1741204151E-01          3.2403919680E-01          5.3791375962E+02          2.1690917890E+01          2.2134480672E+01          1.5777679232E+00          9.7439774912E+00          0.0000000000E+00          7.7433920548E-01          7.8452639978E+01          1.5499383685E+00          9.1550543557E+01          4.7206293058E+03          1.1359941210E+01          
2022-05-10                08:07:37.369              129.29696030              3103.127047               130.29696030              1652162857.370            0                         963                       1.3999774041E+02          4.5001152039E+01          3.0250000000E+01          4.5247367859E+01          4.5002372742E+01          4.7000000000E+01          0.0000000000E+00          3.2890575278E+04          2.0000000000E+00          3.7650580425E-01          3.1277355337E-01          3.0874903476E-01          3.1508767063E-01          3.8718298961E-01          3.2160537100E-01          3.1746721082E-01          3.2425408358E-01          5.3791183392E+02          2.1699672140E+01          2.2144183015E+01          1.5804525788E+00          9.5066370881E+00          0.0000000000E+00          7.7433920548E-01          7.8452639978E+01          1.5499383685E+00          9.1550543557E+01          4.7206293058E+03          1.1359941210E+01          
2022-05-10                08:07:38.009              129.29696771              3103.127225               130.29696771              1652162858.010            0                         963                       1.3999734800E+02          4.5001152039E+01          3.0250000000E+01          4.5247367859E+01          4.5002372742E+01          2.0000000000E+00          0.0000000000E+00          3.2888443520E+04          2.0000000000E+00          3.5511138197E-01          3.1569908920E-01          3.0941086402E-01          3.1532870977E-01          3.6519366721E-01          3.2461680000E-01          3.1815143590E-01          3.2450112760E-01          5.3007505031E+02          2.1706538048E+01          2.2151793062E+01          1.5825584376E+00          9.3206309089E+00          0.0000000000E+00          7.7433920548E-01          7.8452639978E+01          1.5499383685E+00          9.2717315649E+01          4.7206293058E+03          9.4963778205E+00          
2022-05-10                08:07:38.788              129.29697671              3103.127441               130.29697671              1652162858.788            0                         963                       1.3999765015E+02          4.5001152039E+01          3.0250000000E+01          4.5247367859E+01          4.5002372742E+01          4.6000000000E+01          0.0000000000E+00          3.2887390625E+04          2.0000000000E+00          3.2897528541E-01          3.1783302028E-01          3.0970287031E-01          3.1536815074E-01          3.3824555299E-01          3.2681216389E-01          3.1845134810E-01          3.2454085137E-01          5.2055149875E+02          2.1714884585E+01          2.2157100389E+01          1.5713589100E+00          9.5821802003E+00          0.0000000000E+00          7.7433920548E-01          7.8619567526E+01          1.5499383685E+00          9.2717315649E+01          4.7206293058E+03          9.4963778205E+00          
2022-05-10                08:07:39.957              129.29699025              3103.127766               130.29699025              1652162859.958            0                         963                       1.3999968060E+02          4.5001029968E+01          3.0250000000E+01          4.5247489929E+01          4.5002281189E+01          4.7000000000E+01          0.0000000000E+00          3.2888409031E+04          2.0000000000E+00          2.8966979633E-01          3.1801764788E-01          3.1238978149E-01          3.1550036531E-01          2.9773928053E-01          3.2700062240E-01          3.2121617155E-01          3.2467575556E-01          5.0622944923E+02          2.1727436624E+01          2.2165083534E+01          1.5545327649E+00          9.9755131891E+00          0.0000000000E+00          5.9427216062E-01          7.8619567526E+01          1.2846839711E+00          9.2717315649E+01          4.7206293058E+03          9.4963778205E+00          
2022-05-10                08:07:40.789              129.29699988              3103.127997               130.29699988              1652162860.790            0                         963                       1.3999968060E+02          4.5001029968E+01          3.0250000000E+01          4.5247489929E+01          4.5002281189E+01          4.7000000000E+01          0.0000000000E+00          3.2888409031E+04          2.0000000000E+00          2.8956141070E-01          3.1718069973E-01          3.1320197285E-01          3.1544711296E-01          2.9756450986E-01          3.2613485438E-01          3.2205048768E-01          3.2461964779E-01          5.0623073572E+02          2.1736362740E+01          2.2170761157E+01          1.5425769715E+00          1.0255030543E+01          0.0000000000E+00          5.9427216062E-01          7.8619567526E+01          1.2846839711E+00          9.2717315649E+01          4.7206293058E+03          9.4963778205E+00          
