DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2022-05-10                02:06:25.605              129.04612970              3097.107113               130.04612970              1652141185.606            0                         963                       1.3999920924E+02          4.4999473572E+01          3.1593674334E+01          4.5242912292E+01          4.4998832703E+01          4.7000000000E+01          0.0000000000E+00          3.2860188124E+04          2.0000000000E+00          4.1046129776E-01          3.1527631112E-01          3.1543195102E-01          3.1680017222E-01          4.2109360575E-01          3.2361149092E-01          3.2382036352E-01          3.2544456966E-01          6.8844830113E+02          1.3335137264E+01          1.3584653763E+01          1.4459101932E+00          1.1355401646E+01          0.0000000000E+00          8.4458974507E-01          7.7048949576E+01          1.7821398355E+00          8.6148023075E+01          2.9039974825E+03          1.1452424760E+01          
2022-05-10                02:06:26.479              129.04613980              3097.107355               130.04613980              1652141186.479            0                         963                       1.3999920924E+02          4.4999473572E+01          3.1593674334E+01          4.5242912292E+01          4.4998832703E+01          4.7000000000E+01          0.0000000000E+00          3.2860188124E+04          2.0000000000E+00          4.1043108812E-01          3.1649935540E-01          3.1675138348E-01          3.1706098257E-01          4.2103533784E-01          3.2485866317E-01          3.2517057149E-01          3.2571083921E-01          6.8844831154E+02          1.3336157250E+01          1.3585054464E+01          1.4422726808E+00          1.1358034015E+01          0.0000000000E+00          8.4458974507E-01          7.7048949576E+01          1.7821398355E+00          8.6148023075E+01          2.9039974825E+03          1.1452424760E+01          
2022-05-10                02:06:27.131              129.04614736              3097.107537               130.04614736              1652141187.132            0                         963                       1.4000035095E+02          4.4999473572E+01          3.1562500000E+01          4.5242912292E+01          4.4998832703E+01          2.0000000000E+00          0.0000000000E+00          3.2860500000E+04          2.0000000000E+00          3.7752430971E-01          3.1680823219E-01          3.1770348326E-01          3.1701277125E-01          3.8725716495E-01          3.2516706648E-01          3.2614137912E-01          3.2565916237E-01          6.6439101790E+02          1.3336919934E+01          1.3585353969E+01          1.4395522737E+00          1.1360222822E+01          0.0000000000E+00          8.4458974507E-01          7.7048949576E+01          1.7821398355E+00          8.4771959047E+01          2.9039974825E+03          1.1470323796E+01          
2022-05-10                02:06:27.948              129.04615682              3097.107764               130.04615682              1652141187.949            0                         963                       1.3999778748E+02          4.4999473572E+01          3.1562500000E+01          4.5242912292E+01          4.4998832703E+01          4.6000000000E+01          0.0000000000E+00          3.2858375000E+04          2.0000000000E+00          3.3644273214E-01          3.1663938830E-01          3.1808990590E-01          3.1684999789E-01          3.4516703809E-01          3.2498716777E-01          3.2653277198E-01          3.2548999371E-01          6.3429254195E+02          1.3337874221E+01          1.3587865025E+01          1.4483205500E+00          1.1525138961E+01          0.0000000000E+00          8.4458974507E-01          7.6922784580E+01          1.7821398355E+00          8.4771959047E+01          2.9039974825E+03          1.1470323796E+01          
2022-05-10                02:06:29.154              129.04617078              3097.108099               130.04617078              1652141189.155            0                         963                       1.3999892568E+02          4.4999533055E+01          3.1562500000E+01          4.5242959879E+01          4.4998832703E+01          4.7000000000E+01          0.0000000000E+00          3.2857659154E+04          2.0000000000E+00          2.7580330268E-01          3.1564945612E-01          3.1838781887E-01          3.1656060660E-01          2.8301479720E-01          3.2396811057E-01          3.2683292946E-01          3.2519060502E-01          5.8986320835E+02          1.3339282702E+01          1.3591571737E+01          1.4612594224E+00          1.1768575189E+01          0.0000000000E+00          5.7515595418E-01          7.6922784580E+01          1.7514493876E+00          8.4771959047E+01          2.9039974825E+03          1.1470323796E+01          
2022-05-10                02:06:30.000              129.04618057              3097.108334               130.04618057              1652141190.001            0                         963                       1.3999892568E+02          4.4999533055E+01          3.1562500000E+01          4.5242959879E+01          4.4998832703E+01          4.7000000000E+01          0.0000000000E+00          3.2857659154E+04          2.0000000000E+00          2.7586854321E-01          3.1589265019E-01          3.1870101192E-01          3.1644725823E-01          2.8312748529E-01          3.2421735373E-01          3.2715210937E-01          3.2507343755E-01          5.8986401487E+02          1.3340271080E+01          1.3594173996E+01          1.4703415363E+00          1.1939059114E+01          0.0000000000E+00          5.7515595418E-01          7.6922784580E+01          1.7514493876E+00          8.4771959047E+01          2.9039974825E+03          1.1470323796E+01          
2022-05-10                02:06:30.502              129.04618637              3097.108473               130.04618637              1652141190.502            0                         963                       1.4000341315E+02          4.4999626160E+01          3.1562500000E+01          4.5243034363E+01          4.4998832703E+01          2.5000000000E+01          0.0000000000E+00          3.2858829153E+04          2.0000000000E+00          2.8640140528E-01          3.1643011561E-01          3.1825240627E-01          3.1648389869E-01          2.9396681920E-01          3.2477020838E-01          3.2669120256E-01          3.2511015554E-01          5.7272924304E+02          1.3340856480E+01          1.3595715788E+01          1.4757221167E+00          1.2039949307E+01          0.0000000000E+00          5.7515595418E-01          7.6922784580E+01          1.7514493876E+00          8.4771959047E+01          2.9055498446E+03          1.1470323796E+01          
2022-05-10                02:06:31.798              129.04620137              3097.108833               130.04620137              1652141191.798            0                         963                       1.4000076117E+02          4.4999626160E+01          3.1562500000E+01          4.5243034363E+01          4.4998832703E+01          4.7000000000E+01          0.0000000000E+00          3.2861727612E+04          2.0000000000E+00          3.1363992077E-01          3.1085785297E-01          3.1970929751E-01          3.1661953468E-01          3.2200761471E-01          3.1905889209E-01          3.2818473916E-01          3.2524876807E-01          5.2840335011E+02          1.3363535356E+01          1.3621279257E+01          1.4896488274E+00          1.2300768545E+01          0.0000000000E+00          6.4202594932E-01          7.6922784580E+01          1.4620602734E+00          8.4771959047E+01          2.9055498446E+03          1.1470323796E+01          
2022-05-10                02:06:32.637              129.04621108              3097.109066               130.04621108              1652141192.637            0                         963                       1.4000076117E+02          4.4999626160E+01          3.1562500000E+01          4.5243034363E+01          4.4998832703E+01          4.7000000000E+01          0.0000000000E+00          3.2861727612E+04          2.0000000000E+00          3.1369925074E-01          3.0562951275E-01          3.1935219510E-01          3.1637628177E-01          3.2212026026E-01          3.1370234152E-01          3.2781818022E-01          3.2499863348E-01          5.2840336436E+02          1.3378216988E+01          1.3637834175E+01          1.4986703404E+00          1.2469734272E+01          0.0000000000E+00          6.4202594932E-01          7.6922784580E+01          1.4620602734E+00          8.4771959047E+01          2.9055498446E+03          1.1470323796E+01          
2022-05-10                02:06:33.256              129.04621825              3097.109238               130.04621825              1652141193.257            0                         963                       1.4000026358E+02          4.4999626160E+01          3.1562500000E+01          4.5243034363E+01          4.4998832703E+01          2.0000000000E+00          0.0000000000E+00          3.2861498662E+04          2.0000000000E+00          3.2508407972E-01          3.0186362258E-01          3.1915774415E-01          3.1640053748E-01          3.3385149367E-01          3.0984880635E-01          3.2761946636E-01          3.2502329326E-01          5.1402165428E+02          1.3389066437E+01          1.3650070909E+01          1.5053399119E+00          1.2594519909E+01          0.0000000000E+00          6.4202594932E-01          7.6922784580E+01          1.4620602734E+00          8.8433768562E+01          2.9055498446E+03          1.2704683014E+01          
